UUID,Figure,Organ,Sample ID,Condition,Brain Region,Brain Hemisphere,Width (px),Height (px),Depth (px),XY Pixel Size (µm),Z Pixel Size (µm),File Path,File Name,File Size,Thumbnail
b5b40c80-55d7-4f7b-afd4-f921f610d2b7,Figure 3,Brain,597,Obese,Striatum,R,500,500,501,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/b5b40c80-55d7-4f7b-afd4-f921f610d2b7.ome.zarr,b5b40c80-55d7-4f7b-afd4-f921f610d2b7.ome.zarr,203122566,https://lsfm.isas.de/files/vessel-express/thumbnails/b5b40c80-55d7-4f7b-afd4-f921f610d2b7.jpg
a2877c83-3207-4093-a673-c9bb9f75953b,Figure 3,Brain,600,Obese,Striatum,L,500,500,501,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/a2877c83-3207-4093-a673-c9bb9f75953b.ome.zarr,a2877c83-3207-4093-a673-c9bb9f75953b.ome.zarr,201172719,https://lsfm.isas.de/files/vessel-express/thumbnails/a2877c83-3207-4093-a673-c9bb9f75953b.jpg
e5342b45-1270-4d99-8f54-69ffc1931df3,Figure 3,Brain,600,Obese,Midbrain,L,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/e5342b45-1270-4d99-8f54-69ffc1931df3.ome.zarr,e5342b45-1270-4d99-8f54-69ffc1931df3.ome.zarr,52974196,https://lsfm.isas.de/files/vessel-express/thumbnails/e5342b45-1270-4d99-8f54-69ffc1931df3.jpg
c3ad822c-7fbe-4b8b-9c92-30232ced9329,Figure 3,Brain,600,Obese,Striatum,R,500,500,501,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/c3ad822c-7fbe-4b8b-9c92-30232ced9329.ome.zarr,c3ad822c-7fbe-4b8b-9c92-30232ced9329.ome.zarr,206697754,https://lsfm.isas.de/files/vessel-express/thumbnails/c3ad822c-7fbe-4b8b-9c92-30232ced9329.jpg
7410f6f9-52e6-43ef-b5a5-cd1412a76de7,Figure 3,Brain,600,Obese,Midbrain,R,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/7410f6f9-52e6-43ef-b5a5-cd1412a76de7.ome.zarr,7410f6f9-52e6-43ef-b5a5-cd1412a76de7.ome.zarr,43189608,https://lsfm.isas.de/files/vessel-express/thumbnails/7410f6f9-52e6-43ef-b5a5-cd1412a76de7.jpg
6c61d6f4-bcb8-4cdc-8935-728fe01bffc3,Figure 3,Brain,600,Obese,Cortex,R,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/6c61d6f4-bcb8-4cdc-8935-728fe01bffc3.ome.zarr,6c61d6f4-bcb8-4cdc-8935-728fe01bffc3.ome.zarr,45891590,https://lsfm.isas.de/files/vessel-express/thumbnails/6c61d6f4-bcb8-4cdc-8935-728fe01bffc3.jpg
89ac07ee-c79c-4844-b854-06feadd5b987,Figure 3,Brain,610,Obese,Midbrain,L,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/89ac07ee-c79c-4844-b854-06feadd5b987.ome.zarr,89ac07ee-c79c-4844-b854-06feadd5b987.ome.zarr,40479057,https://lsfm.isas.de/files/vessel-express/thumbnails/89ac07ee-c79c-4844-b854-06feadd5b987.jpg
457136da-7e84-4ff4-9273-d77188534096,Figure 3,Brain,610,Obese,Striatum,L,500,500,501,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/457136da-7e84-4ff4-9273-d77188534096.ome.zarr,457136da-7e84-4ff4-9273-d77188534096.ome.zarr,210981533,https://lsfm.isas.de/files/vessel-express/thumbnails/457136da-7e84-4ff4-9273-d77188534096.jpg
b2f976e5-4faa-406c-92fa-915be6dab1a7,Figure 3,Brain,610,Obese,Cortex,L,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/b2f976e5-4faa-406c-92fa-915be6dab1a7.ome.zarr,b2f976e5-4faa-406c-92fa-915be6dab1a7.ome.zarr,46877369,https://lsfm.isas.de/files/vessel-express/thumbnails/b2f976e5-4faa-406c-92fa-915be6dab1a7.jpg
35ae2aec-d8e5-4408-b920-5f8e1a4b1f54,Figure 3,Brain,610,Obese,Cortex,R,300,300,301,0.975,2.0,https://lsfm.isas.de/files/vessel-express/images/35ae2aec-d8e5-4408-b920-5f8e1a4b1f54.ome.zarr,35ae2aec-d8e5-4408-b920-5f8e1a4b1f54.ome.zarr,42990903,https://lsfm.isas.de/files/vessel-express/thumbnails/35ae2aec-d8e5-4408-b920-5f8e1a4b1f54.jpg
